"horario_inicial","local","mulheres_ciclistas","homens_ciclistas","total_ciclistas"
"06:15","bobs",0,31,31
"06:30","bobs",1,46,47
"06:45","bobs",4,29,33
"07:00","bobs",3,29,32
"07:15","bobs",2,16,18
"07:30","bobs",3,19,22
"07:45","bobs",3,17,20
"08:00","bobs",2,27,29
"08:15","bobs",1,7,8
"08:30","bobs",2,9,11
"08:45","bobs",2,14,16
"09:00","bobs",1,12,13
"09:15","bobs",1,8,9
"09:30","bobs",0,8,8
"09:45","bobs",0,13,13
"10:00","bobs",0,6,6
"10:15","bobs",0,6,6
"10:30","bobs",0,13,13
"10:45","bobs",1,12,13
"11:00","bobs",0,22,22
"11:15","bobs",0,6,6
"11:30","bobs",0,9,9
"11:45","bobs",0,13,13
"12:00","bobs",0,9,9
"12:15","bobs",0,10,10
"12:30","bobs",0,7,7
"12:45","bobs",0,16,16
"13:00","bobs",1,12,13
"13:15","bobs",0,9,9
"13:30","bobs",0,7,7
"13:45","bobs",0,10,10
"14:00","bobs",0,9,9
"14:15","bobs",0,4,4
"14:30","bobs",0,3,3
"14:45","bobs",0,10,10
"15:00","bobs",0,10,10
"15:15","bobs",1,9,10
"15:30","bobs",1,6,7
"15:45","bobs",4,10,14
"16:00","bobs",3,23,26
"16:15","bobs",7,23,30
"16:30","bobs",4,22,26
"16:45","bobs",3,43,46
"17:00","bobs",7,38,45
"17:15","bobs",9,34,43
"17:30","bobs",9,28,37
"17:45","bobs",4,32,36
"18:00","bobs",0,20,20
"18:15","bobs",1,18,19
"18:30","bobs",0,20,20
"18:45","bobs",0,16,16
"19:00","bobs",0,29,29
"19:15","bobs",1,24,25
"19:30","bobs",1,15,16
"19:45","bobs",2,15,17
"20:00","bobs",3,33,36
"20:15","bobs",0,4,4
"20:30","bobs",2,6,8
