"horario_inicial","local","mulheres_ciclistas","homens_ciclistas","total_ciclistas"
"06:00","bobs",0,15,15
"06:00","jackson",0,14,14
"06:15","bobs",0,31,31
"06:15","burrinhos",0,276,276
"06:15","jackson",0,40,40
"06:30","bobs",1,46,47
"06:30","burrinhos",1,3,4
"06:30","jackson",7,28,35
"06:45","bobs",4,29,33
"06:45","burrinhos",1,17,18
"06:45","jackson",7,22,29
"07:00","bobs",3,29,32
"07:00","burrinhos",1,18,19
"07:00","jackson",2,27,29
"07:15","bobs",2,16,18
"07:15","burrinhos",0,8,8
"07:15","jackson",3,28,31
"07:30","bobs",3,19,22
"07:30","burrinhos",0,12,12
"07:30","jackson",1,35,36
"07:45","bobs",3,17,20z
"07:45","burrinhos",0,7,7
"07:45","jackson",0,22,22
"08:00","bobs",2,27,29
"08:00","burrinhos",0,4,4
"08:00","jackson",1,15,16
"08:15","bobs",1,7,8
"08:15","burrinhos",0,12,12
"08:15","jackson",2,21,23
"08:30","bobs",2,9,11
"08:30","burrinhos",0,11,11
"08:30","jackson",2,18,20
"08:45","bobs",2,14,16
"08:45","burrinhos",0,8,8
"08:45","jackson",3,13,16
"09:00","bobs",1,12,13
"09:00","burrinhos",0,8,8
"09:00","jackson",1,11,12
"09:15","bobs",1,8,9
"09:15","burrinhos",0,5,5
"09:15","jackson",0,11,11
"09:30","bobs",0,8,8
"09:30","burrinhos",1,8,9
"09:30","jackson",0,14,14
"09:45","bobs",0,13,13
"09:45","burrinhos",0,7,7
"09:45","jackson",2,13,15
"10:00","bobs",0,6,6
"10:00","burrinhos",0,11,11
"10:00","jackson",3,7,10
"10:15","bobs",0,6,6
"10:15","burrinhos",0,5,5
"10:15","jackson",0,4,4
"10:30","bobs",0,13,13
"10:30","burrinhos",0,5,5
"10:30","jackson",1,4,5
"10:45","bobs",1,12,13
"10:45","burrinhos",0,1,1
"10:45","jackson",0,8,8
"11:00","bobs",0,22,22
"11:00","burrinhos",0,11,11
"11:00","jackson",0,15,15
"11:15","bobs",0,6,6
"11:15","burrinhos",0,10,10
"11:15","jackson",0,7,7
"11:30","bobs",0,9,9
"11:30","burrinhos",0,0,0
"11:30","jackson",0,12,12
"11:45","bobs",0,13,13
"11:45","burrinhos",0,6,6
"11:45","jackson",0,6,6
"12:00","bobs",0,9,9
"12:00","burrinhos",0,13,13
"12:00","jackson",0,7,7
"12:15","bobs",0,10,10
"12:15","burrinhos",0,10,10
"12:15","jackson",0,4,4
"12:30","bobs",0,7,7
"12:30","burrinhos",0,10,10
"12:30","jackson",0,7,7
"12:45","bobs",0,16,16
"12:45","burrinhos,0,13,13
"12:45","jackson",0,8,8
"13:00","bobs",1,12,13
"13:00","burrinhos",0,9,9
"13:00","jackson",0,7,7
"13:15","bobs",0,9,9
"13:15","burrinhos",0,14,14
"13:15","jackson",0,8,8
"13:30","bobs",0,7,7
"13:30","burrinhos",0,7,7
"13:30","jackson",0,9,9
"13:45","bobs",0,10,10
"13:45","burrinhos",0,8,8
"13:45","jackson",0,11,11
"14:00","bobs",0,9,9
"14:00","burrinhos",0,12,12
"14:00","jackson",0,6,6
"14:15","bobs",0,4,4
"14:15","burrinhos",0,5,5
"14:15","jackson",0,2,2
"14:30","bobs",0,3,3
"14:30","burrinhos",1,14,15
"14:30","jackson",0,2,2
"14:45","bobs",0,10,10
"14:45","burrinhos",0,11,11
"14:45","jackson",0,5,5
"15:00","bobs",0,10,10
"15:00","burrinhos",2,9,11
"15:00","jackson",1,6,7
"15:15","bobs",1,9,10
"15:15","burrinhos",0,14,14
"15:15","jackson",1,7,8
"15:30","bobs",1,6,7
"15:30","burrinhos",1,14,15
"15:30","jackson",1,6,7
"15:45","bobs",4,10,14
"15:45","burrinhos",0,9,9
"15:45","jackson",0,7,7
"16:00","bobs",3,23,26
"16:00","burrinhos",0,11,11
"16:00","jackson",2,9,11
"16:15","bobs",7,23,30
"16:15","burrinhos",1,21,22
"16:15","jackson",5,18,23
"16:30","bobs",4,22,26
"16:30","burrinhos",0,15,15
"16:30","jackson",4,29,33
"16:45","bobs",3,43,46
"16:45","burrinhos",1,22,23
"16:45","jackson",11,38,49
"17:00","bobs",7,38,45
"17:00","burrinhos",0,15,15
"17:00","jackson",3,30,33
"17:15","bobs",9,34,43
"17:15","burrinhos",0,32,32
"17:15","jackson",6,26,32
"17:30","bobs",9,28,37
"17:30","burrinhos",0,18,18
"17:30","jackson",4,31,35
"17:45","bobs",4,32,36
"17:45","burrinhos",0,19,19
"17:45","jackson",6,20,26
"18:00","bobs",0,20,20
"18:00","burrinhos",0,14,14
"18:00","jackson",2,22,24
"18:15","bobs",1,18,19
"18:15","burrinhos",0,12,12
"18:15","jackson",7,12,19
"18:30","bobs",0,20,20
"18:30","burrinhos",0,9,9
"18:30","jackson",3,17,20
"18:45","bobs",0,16,16
"18:45","burrinhos",0,4,4
"18:45","jackson",2,18,20
"19:00","bobs",0,29,29
"19:00","burrinhos",1,6,7
"19:00",jackson",0,18,18
"19:15","bobs",1,24,25
"19:15","burrinhos",0,7,7
"19:15","jackson",0,21,21
"19:30","bobs",1,15,16
"19:30","burrinhos",0,3,3
"19:30","jackson",0,28,28
"19:45","bobs",2,15,17
"19:45","burrinhos",1,5,6
"19:45","jackson",2,23,25
"20:00","bobs",3,33,36
"20:00","burrinhos",0,1,1
"20:00","jackson",1,20,21
"20:15","bobs",0,4,4
"20:15","burrinhos",1,3,4
"20:15","jackson",0,7,7
"20:30","bobs",2,6,8
"20:30","burrinhos",0,0,0
"20:30","jackson",0,6,6
"20:45","bobs",0,1,1
"20:45","burrinhos"11,89,100
"20:45","jackson"0,6,6
